title,link,price,full_description,location,area,orientation,layout,floor,region,price_range
整租·新通国际花园 2室2厅 东南,https://bj.lianjia.com/zufang/BJ2053748668833464320.html,4600,通州|-|梨园|-|新通国际花园|/|98.20㎡|/|东南|/|2室2厅1卫|/|高楼层                        （28层）,通州|-|梨园|-|新通国际花园|/|/|/|/,98.20㎡,东南,2室2厅1卫,高楼层                        （28层）,"链家          
3天前维护",
整租·建工家园 2室1厅 西北,https://bj.lianjia.com/zufang/BJ1766803117376012288.html,5800,朝阳|-|十里河|-|建工家园|/|93.53㎡|/|西北|/|2室1厅1卫|/|中楼层                        （20层）,朝阳|-|十里河|-|建工家园|/|/|/|/,93.53㎡,西北,2室1厅1卫,中楼层                        （20层）,"贝壳优选          
今天维护",
整租·海淀嘉郡 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ2054549230751580160.html,5200,海淀|-|海淀北部新区|-|海淀嘉郡|/|89.03㎡|/|南 北|/|3室1厅1卫|/|中楼层                        （16层）,海淀|-|-|海淀嘉郡|/|/|/|/,89.03㎡,南 北,3室1厅1卫,中楼层                        （16层）,链家,
整租·学院南路72号院 2室1厅 西,https://bj.lianjia.com/zufang/BJ2053735461406375936.html,6800,海淀|-|白石桥|-|学院南路72号院|/|62.50㎡|/|西|/|2室1厅1卫|/|高楼层                        （6层）,海淀|-|白石桥|-|/|/|/|/,62.50㎡,西,2室1厅1卫,高楼层                        （6层）,"链家          
1天前维护",
整租·京艺天朗 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2091396764706799616.html,3300,通州|-|玉桥|-|京艺天朗|/|79.74㎡|/|南 北|/|2室1厅1卫|/|低楼层                        （12层）,通州|-|玉桥|-|京艺天朗|/|/|/|/,79.74㎡,南 北,2室1厅1卫,低楼层                        （12层）,"贝壳优选          
今天维护",
独栋·魔方公寓 昌平沙河地铁站D店 沙河地铁站，直达西二旗，12免1，元宇宙公区，配备烘干机，大厂员工特惠，可做饭 1室1厅,https://bj.lianjia.com/apartment/60374.html,3288,仅剩1间|/|25.00㎡|/|1间在租|/|1室1厅1卫,仅剩1间|/|/|1间在租|/,25.00㎡,,1室1厅1卫,,"魔方公寓          
9天前维护",
整租·远洋山水 2室1厅 东,https://bj.lianjia.com/zufang/BJ2054439830485467136.html,6300,石景山|-|鲁谷|-|远洋山水|/|99.00㎡|/|东|/|2室1厅1卫|/|低楼层                        （26层）,石景山|-|鲁谷|-|远洋山水|/|/|/|/,99.00㎡,东,2室1厅1卫,低楼层                        （26层）,"链家          
今天维护",
整租·珠江绿洲 1室1厅 复式 东北,https://bj.lianjia.com/zufang/BJ2054439482878328832.html,5300,朝阳|-|双桥|-|珠江绿洲|/|79.00㎡|/|东北|/|1室1厅1卫|/|高楼层                        （31层）,朝阳|-|双桥|-|珠江绿洲|/|/|/|/,79.00㎡,东北,1室1厅1卫,高楼层                        （31层）,"链家          
5天前维护",
整租·南苑北里三区 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2091406224108027904.html,4200,丰台|-|和义|-|南苑北里三区|/|74.94㎡|/|南 北|/|2室1厅1卫|/|高楼层                        （6层）,丰台|-|和义|-|/|/|/|/,74.94㎡,南 北,2室1厅1卫,高楼层                        （6层）,"贝壳优选          
今天维护",
整租·阜成门外北四巷 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2054560330809344000.html,7000,西城|-|阜成门|-|阜成门外北四巷|/|65.00㎡|/|南 北|/|2室1厅1卫|/|低楼层                        （5层）,-|阜成门|-|/|/|/|/,65.00㎡,南 北,2室1厅1卫,低楼层                        （5层）,"链家          
1天前维护",
整租·尚西泊图 3室1厅 南,https://bj.lianjia.com/zufang/BJ2087823573568716800.html,12000,丰台|-|太平桥|-|尚西泊图|/|132.35㎡|/|南|/|3室1厅1卫|/|低楼层                        （21层）,丰台|-|太平桥|-|/|/|/|/,132.35㎡,南,3室1厅1卫,低楼层                        （21层）,"链家          
今天维护",
整租·远中悦麒 1室1厅 西,https://bj.lianjia.com/zufang/BJ2091408481893482496.html,4500,丰台|-|木樨园|-|远中悦麒|/|59.95㎡|/|西|/|1室1厅1卫|/|中楼层                        （24层）,丰台|-|木樨园|-|远中悦麒|/|/|/|/,59.95㎡,西,1室1厅1卫,中楼层                        （24层）,"贝壳优选          
今天维护",
整租·远洋山水 车库,https://bj.lianjia.com/zufang/BJ2080617208169365504.html,850,石景山|-|鲁谷|-|远洋山水|/|30.56㎡|/|/|地下室,石景山|-|鲁谷|-|远洋山水|/|/|/,30.56㎡,,,,链家,
整租·檀州家园西区 车库,https://bj.lianjia.com/zufang/BJ2074358563945316352.html,1300,密云|-|鼓楼街道|-|檀州家园西区|/|39.36㎡|/|/|低楼层                        （1层）,密云|-|鼓楼街道|-|/|/|/,39.36㎡,檀州家园西区,,低楼层                        （1层）,"链家          
2天前维护",
整租·恒大名都 2室1厅 南,https://bj.lianjia.com/zufang/BJ2091413318970376192.html,6825,朝阳|-|北苑|-|恒大名都|/|78.72㎡|/|南|/|2室1厅1卫|/|高楼层                        （28层）,朝阳|-|-|恒大名都|/|/|/|/,78.72㎡,南,2室1厅1卫,高楼层                        （28层）,"贝壳优选          
今天维护",
独栋·中海友里公寓 中海友里苏庄地铁站店 央企直租 开学季优惠 地铁口  整租一居 可短租 无中介费 无服务费 免费健身房 开间,https://bj.lianjia.com/apartment/36678.html,2075,24.23-27.23㎡|/|6间在租|/|1室0厅1卫,/|6间在租|/,24.23-27.23㎡,,1室0厅1卫,,"中海友里公寓          
1个月前维护",1950-2200
整租·金隅万科城二期 车库,https://bj.lianjia.com/zufang/BJ2077589104693870592.html,650,昌平|-|鼓楼大街|-|金隅万科城二期|/|22.90㎡|/|/|地下室,昌平|-|鼓楼大街|-|金隅万科城二期|/|/|/,22.90㎡,,,,链家,
整租·如园北区 车库,https://bj.lianjia.com/zufang/BJ2052747528662679552.html,800,海淀|-|西北旺|-|如园北区|/|37.58㎡|/|/|地下室                        （3层）,海淀|-|-|/|/|/,37.58㎡,如园北区,,地下室                        （3层）,"链家          
5天前维护",
整租·车公庄西路38号院 3室1厅 南/北,https://bj.lianjia.com/zufang/BJ2091400623105769472.html,8925,海淀|-|甘家口|-|车公庄西路38号院|/|85.00㎡|/|南 北|/|3室1厅1卫|/|低楼层                        （16层）,海淀|-|甘家口|-|/|/|/|/,85.00㎡,南 北,3室1厅1卫,低楼层                        （16层）,"贝壳优选          
今天维护",
整租·西城晶华 车库,https://bj.lianjia.com/zufang/BJ2052969715361382400.html,2000,西城|-|金融街|-|西城晶华|/|41.78㎡|/|/|地下室,-|金融街|-|/|/|/,41.78㎡,西城晶华,,,"链家          
4天前维护",
整租·长阳半岛怡和南路10号院 车库,https://bj.lianjia.com/zufang/BJ1992222116883202048.html,600,房山|-|长阳|-|长阳半岛怡和南路10号院|/|35.00㎡|/|/|地下室                        （9层）,房山|-|长阳|-|/|/|/,35.00㎡,长阳半岛怡和南路10号院,,地下室                        （9层）,链家,
整租·观音景园二期 2室1厅 南/北,https://bj.lianjia.com/zufang/BJ2091393278346788864.html,6400,朝阳|-|百子湾|-|观音景园二期|/|95.55㎡|/|南 北|/|2室1厅1卫|/|高楼层                        （6层）,朝阳|-|百子湾|-|观音景园二期|/|/|/|/,95.55㎡,南 北,2室1厅1卫,高楼层                        （6层）,"贝壳优选          
今天维护",
整租·长阳半岛怡和路8号院 车库,https://bj.lianjia.com/zufang/BJ2035640142781218816.html,800,房山|-|长阳|-|长阳半岛怡和路8号院|/|32.57㎡|/|/|地下室                        （9层）,房山|-|长阳|-|长阳半岛怡和路8号院|/|/|/,32.57㎡,,,地下室                        （9层）,"链家          
3天前维护",
整租·中景濠庭 车库,https://bj.lianjia.com/zufang/BJ2062106097493213184.html,1600,东城|-|安定门|-|中景濠庭|/|11.17㎡|/|/|地下室,-|安定门|-|中景濠庭|/|/|/,11.17㎡,东城,,,链家,
整租·晨光家园A区 2室1厅 东北,https://bj.lianjia.com/zufang/BJ2091428360805679104.html,5300,朝阳|-|石佛营|-|晨光家园A区|/|83.57㎡|/|东北|/|2室1厅1卫|/|高楼层                        （26层）,朝阳|-|石佛营|-|晨光家园A区|/|/|/|/,83.57㎡,东北,2室1厅1卫,高楼层                        （26层）,"贝壳优选          
今天维护",
整租·富力金禧花园 车库,https://bj.lianjia.com/zufang/BJ2045816683100110848.html,650,通州|-|万达|-|富力金禧花园|/|31.46㎡|/|/|地下室                        （1层）,通州|-|万达|-|富力金禧花园|/|/|/,31.46㎡,,,地下室                        （1层）,链家,
独栋·中海友里公寓 中海友里苏庄地铁站店 央企直租 可直达丰台科技园 丽泽商务区 可月租 可月付 整租一居 房山线地铁口 开间,https://bj.lianjia.com/apartment/36678.html,1975,24.23-27.23㎡|/|7间在租|/|1室0厅1卫,/|7间在租|/,24.23-27.23㎡,,1室0厅1卫,,"中海友里公寓          
1个月前维护",1800-2150
整租·苹果社区北区 1室0厅 北,https://bj.lianjia.com/zufang/BJ2091428834623619072.html,6500,朝阳|-|双井|-|苹果社区北区|/|59.16㎡|/|北|/|1室0厅1卫|/|低楼层                        （21层）,朝阳|-|双井|-|/|/|/|/,59.16㎡,北,1室0厅1卫,低楼层                        （21层）,"贝壳优选          
今天维护",
整租·林肯公园C区 车库,https://bj.lianjia.com/zufang/BJ2030870988689768448.html,600,北京经济技术开发区|-|亦庄|-|林肯公园C区|/|38.56㎡|/|/|地下室,-|亦庄|-|林肯公园C区|/|/|/,38.56㎡,北京经济技术开发区,,,"链家          
3天前维护",
独栋·恒寓星光店 新房开业85折 开发商直租一居 1室1厅,https://bj.lianjia.com/apartment/38001.html,3390,仅剩1间|/|65.00㎡|/|1间在租|/|1室1厅1卫,仅剩1间|/|/|1间在租|/,65.00㎡,,1室1厅1卫,,"恒寓星光店          
6天前维护",
